system:index,classification,fireBinary,year,.geo
0_0000000000000000016c,0.6826470647519519,1,2016.0,"{""type"":""Point"",""coordinates"":[98.67409610408464,17.335241387285677]}"
0_000000000000000000f1,0.7444856762753086,0,2016.0,"{""type"":""Point"",""coordinates"":[98.8600450771144,17.36218773495165]}"
0_00000000000000000025,0.5409566097881805,0,2016.0,"{""type"":""Point"",""coordinates"":[98.32914004659007,17.847279961252866]}"
0_000000000000000000db,0.6317738451964433,0,2016.0,"{""type"":""Point"",""coordinates"":[97.91681589038005,18.291945977403547]}"
0_000000000000000000fe,0.4425512815629256,0,2016.0,"{""type"":""Point"",""coordinates"":[98.39651706350764,19.37800908908187]}"
0_0000000000000000014a,0.8612472612867503,1,2016.0,"{""type"":""Point"",""coordinates"":[98.87352048049792,18.305421380787056]}"
0_00000000000000000069,0.7454485847405623,0,2016.0,"{""type"":""Point"",""coordinates"":[99.03521640289796,19.442688349862106]}"
0_0000000000000000015b,0.46518487634230576,1,2016.0,"{""type"":""Point"",""coordinates"":[99.15379727721226,17.421475942558267]}"
0_000000000000000000a5,0.1316304787972015,0,2016.0,"{""type"":""Point"",""coordinates"":[99.19691232529803,19.83615050861607]}"
0_000000000000000001db,0.6551527730052342,1,2016.0,"{""type"":""Point"",""coordinates"":[100.5336081298874,19.35375157935113]}"
0_000000000000000000e6,0.23503034926558988,0,2016.0,"{""type"":""Point"",""coordinates"":[98.95975949487156,17.74756554349571]}"
0_000000000000000000c4,0.5619889260550739,0,2016.0,"{""type"":""Point"",""coordinates"":[98.16475082715374,18.34854088797388]}"
0_000000000000000001ef,0.7385002117183671,1,2016.0,"{""type"":""Point"",""coordinates"":[97.75511996798,18.184147209436485]}"
0_000000000000000000d5,0.14793621268885881,0,2016.0,"{""type"":""Point"",""coordinates"":[99.39364340467499,17.868839714846278]}"
0_0000000000000000011b,0.45713017184888055,0,2016.0,"{""type"":""Point"",""coordinates"":[100.25872238634665,19.06539489152794]}"
0_00000000000000000105,0.21687311705761053,0,2016.0,"{""type"":""Point"",""coordinates"":[98.52587112596706,18.65845732939048]}"
0_0000000000000000017e,0.4072524675841785,1,2016.0,"{""type"":""Point"",""coordinates"":[100.3395703475467,20.100254145809558]}"
0_0000000000000000001e,0.12944347988433155,0,2016.0,"{""type"":""Point"",""coordinates"":[98.95167514466165,19.073479241737843]}"
0_00000000000000000201,0.5334860589285252,1,2016.0,"{""type"":""Point"",""coordinates"":[99.8652602275927,19.356449335488463]}"
0_000000000000000000ee,0.3186827617340727,0,2016.0,"{""type"":""Point"",""coordinates"":[100.20212747577632,20.046352532275503]}"
0_00000000000000000147,0.8875961037611572,1,2016.0,"{""type"":""Point"",""coordinates"":[99.29932449919251,17.243611319738417]}"
0_00000000000000000248,0.7443071062466475,1,2016.0,"{""type"":""Point"",""coordinates"":[99.92185513816304,18.09521489802657]}"
0_00000000000000000021,0.9158818462284879,0,2016.0,"{""type"":""Point"",""coordinates"":[98.51509347872087,18.097908195062846]}"
0_0000000000000000024d,0.718911986753356,1,2016.0,"{""type"":""Point"",""coordinates"":[98.28332724236698,19.54778936169183]}"
0_0000000000000000012d,0.8832696194449,1,2016.0,"{""type"":""Point"",""coordinates"":[98.37765060695051,19.243259514347795]}"
0_00000000000000000227,0.8567797208906218,1,2016.0,"{""type"":""Point"",""coordinates"":[98.12163131996691,19.469634697528083]}"
0_00000000000000000196,0.902032225544462,1,2016.0,"{""type"":""Point"",""coordinates"":[99.60115659039921,18.60186241882014]}"
0_0000000000000000010b,0.6001142487025778,0,2016.0,"{""type"":""Point"",""coordinates"":[99.19152573122545,18.176062859226597]}"
0_00000000000000000205,0.7223075813956779,1,2016.0,"{""type"":""Point"",""coordinates"":[98.68487375133083,17.321765983902164]}"
0_0000000000000000011e,0.37210176531163686,0,2016.0,"{""type"":""Point"",""coordinates"":[100.21290958212356,19.262125970904926]}"
0_000000000000000001c3,0.4427165244974324,1,2016.0,"{""type"":""Point"",""coordinates"":[99.8437004739993,19.480416803875315]}"
0_000000000000000001ff,0.2340231469761519,1,2016.0,"{""type"":""Point"",""coordinates"":[100.11858621754001,19.623246269718237]}"
0_0000000000000000002b,0.6698926415932916,0,2016.0,"{""type"":""Point"",""coordinates"":[98.55551522977038,17.76643200005284]}"
0_00000000000000000146,0.7002286284659388,1,2016.0,"{""type"":""Point"",""coordinates"":[99.54186838279259,18.879441459397146]}"
0_0000000000000000015e,0.3929327332146179,1,2016.0,"{""type"":""Point"",""coordinates"":[100.8111871704644,19.148936149764253]}"
0_00000000000000000158,0.7575938765743919,1,2016.0,"{""type"":""Point"",""coordinates"":[99.46640701566513,18.030535637246334]}"
0_000000000000000001a0,0.6704953565956504,1,2016.0,"{""type"":""Point"",""coordinates"":[100.3287927003005,20.361664485966767]}"
0_000000000000000001d4,0.8606383208131408,1,2016.0,"{""type"":""Point"",""coordinates"":[98.69295810154074,17.82841350469574]}"
0_000000000000000001aa,0.7522320618886517,1,2016.0,"{""type"":""Point"",""coordinates"":[100.08624435759937,19.089647942157637]}"
0_000000000000000000d9,0.24028563172678477,0,2016.0,"{""type"":""Point"",""coordinates"":[99.8571758773828,19.814590755022657]}"
0_000000000000000001f1,0.8223602505477289,1,2016.0,"{""type"":""Point"",""coordinates"":[99.33435519706838,17.976638482813332]}"
0_000000000000000001ba,0.5877220550280757,1,2016.0,"{""type"":""Point"",""coordinates"":[99.24003183248483,20.03018383185571]}"
0_0000000000000000009a,0.6284071690177299,0,2016.0,"{""type"":""Point"",""coordinates"":[99.70895535836625,20.278118768629405]}"
0_000000000000000001dc,0.8135164781371297,1,2016.0,"{""type"":""Point"",""coordinates"":[97.76320431818988,18.42399779600029]}"
0_000000000000000001a6,0.4877602430799201,1,2016.0,"{""type"":""Point"",""coordinates"":[100.88125748441824,19.553180414865444]}"
0_0000000000000000018a,0.6878022433039914,1,2016.0,"{""type"":""Point"",""coordinates"":[100.33418375347412,18.15450310563318]}"
0_0000000000000000004e,0.16620099682059614,0,2016.0,"{""type"":""Point"",""coordinates"":[98.60941684330442,18.81745995475425]}"
0_000000000000000000c2,0.47331452983485195,0,2016.0,"{""type"":""Point"",""coordinates"":[98.533959935278,18.95490282652461]}"
0_000000000000000000d6,0.3395121960216981,0,2016.0,"{""type"":""Point"",""coordinates"":[101.18039627858865,19.173193659495]}"
0_00000000000000000133,0.3265254601366157,1,2016.0,"{""type"":""Point"",""coordinates"":[98.2968026457505,17.626291372145147]}"
0_0000000000000000013e,0.18221908375416626,1,2016.0,"{""type"":""Point"",""coordinates"":[99.46910477180246,18.86597051511469]}"
0_000000000000000001b5,0.6534006732915437,1,2016.0,"{""type"":""Point"",""coordinates"":[99.814056370196,17.833804557869353]}"
