Version,Removed,AUC
17,full,0.84508141
17.01,populationCount,0.84363232
17.02,distanceProtectedArea,0.84144484
17.03,grassHeight,0.84301623
17.04,litterDepth,0.84260780
17.05,canopyHeightChange,0.84089567
17.06,distanceMixedDeciduousForest,0.84271856
17.07,fuelLoad,0.84132485
17.08,litterCover,0.84226861
17.09,canopyCoverChange,0.84218323
17.1,flameLength,0.84095104
17.11,rateOfSpread,0.84111718
17.12,distanceBurn2yrBefore,0.82773850
17.13,distanceMaize,0.82681551
17.14,distanceRice,0.82682474
17.15,distanceBurn1yrBefore,0.81242847
17.16,distanceDryDipterocarpForest,0.81699956
17.17,canopyCover,0.80760587
17.18,distanceWater,0.80600449
17.19,VPD,0.80528686
17.2,distanceHillEvergreenForest,0.80813658
17.21,distanceSugarcane,0.80704285
17.22,distanceRoads,0.80560760
17.23,distanceOldClearing,0.80506073
17.24,temperatureMax,0.80381009
17.25,distanceDryEvergreenForest,0.80208641
17.26,precipitation,0.80120957
17.27,distanceSPKKTC,0.80330244
17.28,distanceSettlements,0.80029120
17.29,distanceTeakPlantation,0.79403566
17.3,distanceEucalyptusPlantation,0.78617413
17.31,aspect,0.78264371
17.32,distanceBambooForest,0.78268986
17.33,NDMI,0.77335385
17.34,HHpalsarLdiffWetDry,0.76783671
17.35,soilMoisture,0.75630169
17.36,distancePineForest,0.75189443
17.37,distanceSecondaryGrowthForest,0.73831961
17.38,slope,0.72257808
17.39,PDSI,0.70167707
17.4,elevation,0.66650207
17.41,EVI,0.58215268
,NDWI,
