system:index,AUC,Removed,.geo
0,0.8450814073691205,full,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1,0.8395388761721928,canopyCover,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
2,0.8374575426419554,distanceBurn1yrBefore,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
3,0.8289453038470062,distanceBurn2yrBefore,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
4,0.842986229048218,precipitation,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
5,0.8449129624160089,temperatureMax,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
6,0.8463989699475754,soilMoisture,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
7,0.8433715757217757,PDSI,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
8,0.8438099940928887,VPD,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
9,0.8447422099977845,canopyCoverChange,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
10,0.8455590526471239,canopyHeightChange,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
11,0.8420378608875437,HHpalsarLdiffWetDry,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
12,0.8434292623495534,EVI,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
13,0.842589345049103,NDMI,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
14,0.8449337296020082,NDWI,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
15,0.8436323192793325,populationCount,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
16,0.8448875802997865,distanceDryEvergreenForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
17,0.84692045706269,distanceHillEvergreenForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
18,0.8428408587462161,distancePineForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
19,0.844557612788894,distanceMixedDeciduousForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
20,0.8434338772797764,distanceDryDipterocarpForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
21,0.8428731632577716,distanceBambooForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
22,0.8433069666986641,distanceTeakPlantation,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
23,0.8440730451155577,distanceSecondaryGrowthForest,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
24,0.8446683711142293,distanceOldClearing,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
25,0.8424624344679909,distanceEucalyptusPlantation,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
26,0.8436669312559991,distanceMaize,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
27,0.8412856272613156,distanceSugarcane,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
28,0.8419824817248767,distanceRice,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
29,0.8445137709517828,distanceWater,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
30,0.8436069371631102,distanceProtectedArea,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
31,0.8415971350513176,distanceSPKKTC,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
32,0.8424555120726566,distanceRoads,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
33,0.8426239570257696,distanceSettlements,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
34,0.8454482943217899,slope,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
35,0.8416525142139851,elevation,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
36,0.8427762497231038,aspect,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
37,0.8433023517684408,fuelLoad,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
38,0.8434707967215541,grassHeight,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
39,0.8424462822122132,litterCover,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
40,0.8449591117182307,litterDepth,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
41,0.8421463117477669,flameLength,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
42,0.8432146680942183,rateOfSpread,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
