system:index,EVI,HHpalsarLdiffWetDry,NDMI,NDWI,PDSI,Removed,VPD,aspect,canopyCover,canopyCoverChange,canopyHeightChange,distanceBambooForest,distanceBurn1yrBefore,distanceBurn2yrBefore,distanceDryDipterocarpForest,distanceDryEvergreenForest,distanceEucalyptusPlantation,distanceHillEvergreenForest,distanceMaize,distanceMixedDeciduousForest,distanceOldClearing,distancePineForest,distanceProtectedArea,distanceRice,distanceRoads,distanceSPKKTC,distanceSecondaryGrowthForest,distanceSettlements,distanceSugarcane,distanceTeakPlantation,distanceWater,elevation,flameLength,fuelLoad,grassHeight,litterCover,litterDepth,populationCount,precipitation,rateOfSpread,slope,soilMoisture,temperatureMax,.geo
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_0,3.0198946072118207,3.0436646705081856,2.9119680596979745,2.7440436025241444,2.941147966325084,full,2.9305378695919004,2.8089279411110537,2.695731395358354,1.9151987074929047,1.019197051188734,2.878959565958047,2.4427910174134353,2.41670062093075,2.6216208024734686,2.842698035594051,2.9614180146597895,2.811816091638871,2.415756887895819,1.286229313709372,2.8092289956713494,2.8154816138473797,0.5274153218498479,2.487206540605192,2.721795380315807,2.8285039102351335,2.9597290665552674,2.8230244660507657,2.8254461967554563,2.912950078971305,2.7593980713889636,2.77989413894311,1.785596990310499,1.4622327619821769,0.8735593678331234,1.537038236307239,0.9193215065457733,0.35276667457493777,2.8688784593407415,1.7475140775170481,2.7597790532217448,2.9253208201642287,2.8096160497291356,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.9567517143563915,3.042923483038206,2.9436920071781567,2.864715575510002,2.9379615649898203,canopyCover,2.953123692402634,2.975203521913698,,1.966582352401173,1.1171998564231551,2.9817651774061464,2.5151229076125685,2.495531066221162,2.751888176381669,2.9396853190311654,2.9703611166861275,2.6714000554542325,2.575978367501662,1.2823614815486781,2.8840215116037826,2.9019922772452382,0.5148534428439341,2.549650742954185,2.866499326767257,2.930300719115428,2.93867031117514,2.9517985862172917,2.9116643150671755,2.94532263790056,2.8283658802249296,2.955070313031996,1.910265251056359,1.4575948713167153,0.9009354869161997,1.6369172405424643,0.9796633134797375,0.415192061475617,2.960437241378417,1.8330132753910289,2.9502328188844302,2.9659049209360715,2.869386018419375,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,3.0508700937533035,2.973973048636793,2.877710961820807,2.9041233286081902,3.0849045458866864,distanceBurn1yrBefore,3.0181429518595406,2.9643349897272158,2.7706105580972427,2.0106428919056127,1.0310052946287689,2.93035553531127,,2.676314790245461,2.7568757782214326,2.837266753861153,2.8849449306894095,2.8122564825194507,2.4826851041181524,1.3497668268269856,2.8516907282666373,2.899606317075991,0.517161272734413,2.4664632537775595,2.8047810549437004,2.9099488286344393,2.9543359924764765,2.9766872377237275,3.026595000209114,2.9571439695322415,2.8132023506487216,2.9983144865194364,1.7768023424626402,1.4591161912778408,0.8281509769841413,1.5589399054162374,0.9481348108778183,0.42149655904709615,2.9546360225470156,1.7906559902803059,2.83709320471513,2.9731157442034624,2.859142892928381,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,3.0377038980775386,3.0583224509305422,2.981617844587108,2.9238441490479716,2.9483038498676946,distanceBurn2yrBefore,3.0075159451899767,2.9379094068545255,2.705937599574557,1.9763650383752036,1.105451427039236,3.018857480313075,2.6673897940158584,,2.607387850678685,2.847106266556323,2.866989719507285,2.7846981982378165,2.499990984459975,1.2999498923960864,2.8286037983628542,2.9413143015550594,0.5490769870087914,2.5135576445445547,2.7808788220872227,2.9670400341332543,2.947256190094585,2.8679958977247795,2.969585479201384,2.9463829469551435,2.9084920647702512,2.9026790841598884,1.7956664127551234,1.4664301163270426,0.8257782546123507,1.5447142528033582,0.9715268142180227,0.4299739171184015,2.942474374171758,1.8920962930869494,2.8743645302640655,2.9900837635446416,2.8686862247910585,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.956550888191271,3.0564452935407975,2.8664525842211175,2.9947192427119655,3.0247272501944678,precipitation,2.9300958939842756,2.9923667083706706,2.6611014419850543,1.9820385854262297,1.0110823208742623,2.9690982077406938,2.565047020415009,2.3712580572896123,2.7781496828635324,2.9625353646859587,2.8918988824957492,2.708197664568824,2.5537662185040344,1.324145345155785,2.921542402240218,2.8895841242198785,0.5865064648350529,2.5353635242664594,2.84059502605196,2.954451040099507,2.984619505006434,2.952702632583165,3.000496753938009,2.9382950992538284,2.9569919874512833,2.8836839074422573,1.922904997662726,1.4281627324279116,0.8761910829320257,1.5718862697996139,0.9727380851178264,0.3965362577496039,,1.8703175685242086,2.9563056883052172,3.076413968551212,2.884034228322263,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.9703806795003915,3.0332126605457104,2.9683293772542467,2.890981826153032,3.113527659608489,temperatureMax,2.947552391158507,3.1808468905618517,2.739033215732129,1.8855105805374535,1.0572153308611516,3.040484956825992,2.5274281618506125,2.418816940789265,2.640153050209906,3.0011018559896576,2.923786687411737,2.7667652542411,2.543309979892131,1.3021948258468077,2.9816179918167083,2.7622264665794978,0.5515583219625931,2.6137036148729655,2.7892162038836568,2.9676054741713176,2.9374239150350956,2.969163970823949,2.977737385743016,2.9737260952204823,2.7803503696960736,2.946988027228814,1.8622618039465701,1.4685151811291484,0.8548501696154768,1.59872101092681,0.9698763447438532,0.40556958107518454,2.8771305440520294,1.9482421059239818,2.884879860978476,2.928003235604087,,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.9345237017582337,3.0342212399215596,3.007278577144454,2.950200307932941,2.9521117865594846,soilMoisture,2.9551471821647057,3.067299162067958,2.812051574750121,1.9816341401316642,1.066340096649644,3.001647877563372,2.530628942458174,2.5280900586186177,2.6014557359836856,2.9041703178748723,2.9247761282443387,2.750828575627755,2.5227152236369914,1.347936591044009,2.887739047880408,2.9694486463177787,0.510672649840279,2.4292663213986527,2.8708487247881767,2.9831782137639524,3.013878779287436,2.9742631480121835,3.043948289268643,2.870540491899753,2.855163486550078,2.9802910247880186,1.81392417607095,1.5198177354353237,0.8526453553124361,1.6537145350343925,0.9465915663200367,0.4154433303477821,2.9506380762837354,1.8058150427041693,2.913747703623682,,2.8653664349395584,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.914654534849299,3.0357951259654548,2.9604776376734887,2.951561085593521,,PDSI,3.002001255002971,2.9911600250256902,2.7193164177253557,1.995668910894922,1.1560440574416875,3.0342203532194825,2.472559493823075,2.4994518604065115,2.643290314896311,2.920524269036429,2.9853322948082286,2.772672423113719,2.4834156523277775,1.3906331890693167,2.9035463136599957,2.881255043764346,0.5289328676340368,2.592106699062475,2.789702817194931,2.934179588619791,3.056324039302178,2.9434206619958734,3.0389303357894093,2.99479616316452,2.814268146256252,2.8791180968521415,1.852446331621044,1.5177160204322944,0.9507921223316501,1.5806319136286284,1.0093564820001024,0.42054453857895746,2.95656629178906,1.7776649056892162,2.828519380434816,2.96871284594826,2.8516894933767527,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.9792243455839684,2.92918575861994,3.048304854996034,2.8484966291314935,3.157596285734303,VPD,,3.08318649486016,2.792445623362376,1.9500349867523556,1.1431660040465252,3.00343363884827,2.5364425393832137,2.3785954546532504,2.645274767017378,2.927557651135221,2.9583785707416634,2.7658716056646337,2.5304374756736956,1.3626319249175205,2.8540305518779956,2.9117178875478373,0.5452551734528027,2.6188854550481975,2.8750457024520375,2.8850883398332674,2.980192451544624,2.912160222423528,2.9145890675052937,2.9883367659685676,2.9344686499517088,2.911532463383278,1.7517499618660657,1.4534435841268418,0.8865367975595816,1.6285342548317978,0.9979628097631987,0.39653688870039455,2.856650501139895,1.8901865658542512,2.981441228861472,2.9169146946322666,2.8684753705530666,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_1_2_00000000000000000000,2.926187818875104,2.963318198596992,2.9541119113831806,2.808584986939852,3.009835513299066,canopyCoverChange,2.9017401438653554,3.0685600181097508,2.7227974640351293,,1.0724871132106726,2.940641768424703,2.5677168456107897,2.4255383497666108,2.6541516448979556,3.005771409821573,2.881625274908974,2.823515709006489,2.4918282891296086,1.3116067871772872,2.851616267944022,2.907077753479416,0.4957117986820679,2.499161846245159,2.828354039189694,2.9535844238946116,2.9774600846628374,2.9411994509371198,2.880977058617947,2.842740193825579,2.806711644380244,2.8554675714044575,1.7599242265956019,1.4016106127185266,0.876608966824227,1.5799381079828443,0.9521456051294483,0.39101911816340934,2.9755697961273517,1.8662566533571272,2.946540972835928,2.9901792803865592,2.8901252795567203,"{""type"":""Point"",""coordinates"":[0.0,0.0]}"
